customer_id,first_name,last_name,email,join_date,points_balance
1,Tiler,Matteoli,tmatteoli0@slideshare.net,10/23/2023,3
2,Maximilian,Chopy,mchopy1@soundcloud.com,5/7/2023,57
3,Igor,Worts,iworts2@house.gov,10/6/2024,76
4,Darcy,Kibby,dkibby3@t.co,11/10/2023,310
5,Lela,Lawfull,llawfull4@nps.gov,9/1/2023,286
6,Eberto,Kitlee,ekitlee5@google.com.au,11/1/2024,223
7,Marcellina,Sharratt,msharratt6@uiuc.edu,1/4/2025,48
8,Kaila,Elstone,kelstone7@bbb.org,3/30/2024,188
9,Mar,Francesco,mfrancesco8@tinyurl.com,6/1/2025,463
10,Margi,Sprosson,msprosson9@epa.gov,2/20/2025,2
11,Worthy,Hannay,whannaya@amazon.com,3/7/2023,321
12,Dona,Hollington,dhollingtonb@xrea.com,2/20/2025,232
13,Marylee,Blakeman,mblakemanc@phpbb.com,1/25/2024,401
14,Aaren,Girogetti,agirogettid@guardian.co.uk,7/20/2024,243
15,Abbye,Lashley,alashleye@admin.ch,3/12/2025,384
16,Neron,Semechik,nsemechikf@who.int,5/18/2024,190
17,Waldemar,Coyish,wcoyishg@sphinn.com,8/11/2023,167
18,Merry,Papes,mpapesh@cbslocal.com,11/14/2024,93
19,Dido,Van Saltsberg,dvansaltsbergi@bigcartel.com,10/3/2023,413
20,Ellerey,Fishley,efishleyj@mit.edu,2/3/2023,117
21,Nicolai,Pugh,npughk@globo.com,11/28/2023,186
22,Malissa,Cusick,mcusickl@wsj.com,6/25/2025,290
23,Audi,Tunna,atunnam@nature.com,12/24/2023,127
24,Cele,Bliven,cblivenn@sitemeter.com,12/5/2024,12
25,Margit,Peter,mpetero@europa.eu,7/5/2025,170
26,Lucila,Swallwell,lswallwellp@skyrock.com,6/4/2024,424
27,Nickola,De Bruyne,ndebruyneq@ask.com,4/21/2023,451
28,Dusty,Gavrieli,dgavrielir@mlb.com,4/15/2024,260
29,Melba,Roskelly,mroskellys@naver.com,1/3/2023,499
30,Leo,Mattingley,lmattingleyt@usatoday.com,3/14/2025,260
31,Brendis,Livzey,blivzeyu@meetup.com,9/10/2023,168
32,Vernice,Adame,vadamev@purevolume.com,10/26/2023,166
33,Vannie,Hourstan,vhourstanw@dyndns.org,7/13/2025,234
34,Levi,Chaman,lchamanx@ucla.edu,10/20/2023,491
35,Vinita,Baker,vbakery@prweb.com,3/13/2025,422
36,Fons,Baggallay,fbaggallayz@bigcartel.com,2/14/2025,417
37,Valentino,Towson,vtowson10@list-manage.com,1/4/2024,234
38,Thane,Stang-Gjertsen,tstanggjertsen11@disqus.com,2/17/2023,214
39,Georgina,Mathivon,gmathivon12@1688.com,5/27/2024,5
40,Adele,Biaggetti,abiaggetti13@woothemes.com,2/18/2023,12
41,Ardelis,Jirka,ajirka14@hibu.com,6/14/2025,371
42,Shelby,Farnill,sfarnill15@newyorker.com,2/23/2024,88
43,Farrel,Prewett,fprewett16@cafepress.com,1/23/2024,229
44,Imelda,Hugonneau,ihugonneau17@state.gov,8/1/2024,11
45,Rowney,Gott,rgott18@wisc.edu,11/26/2024,457
46,Boone,Steptoe,bsteptoe19@wisc.edu,5/22/2025,219
47,Lindon,Whartonby,lwhartonby1a@ycombinator.com,8/27/2024,191
48,Laurie,Nary,lnary1b@yellowpages.com,6/7/2023,73
49,Donnie,Joust,djoust1c@zdnet.com,4/16/2025,29
50,Nevile,Keattch,nkeattch1d@theguardian.com,3/22/2023,360
